Name,Discussed on,Example,Definition,Proposed definition,Comments / feedback / responses,Agreed Definition,What do you want to use it for? Example of Reporting (or Decision-making) that uses this entity.,Is this a core identifier OR just something we need to define properly,Has a spatial attribute?,Also known as,Not to be confused with,Values (examples if long list),Will the values be controlled - and who by? (ie who gets to edit the things on the list?),What are its attributes?,Links to other core Identifiers,Notes - include whether it will map to existing data,Is it already in use in SEPA in this exact form? Where should it be used?,Any issues with use? Where should it not be used?,Who owns?,IAO/External Body,Information Champion/Main contact,Other known interested parties
Time of sampling,27/10/2022,Date and time of gathering physical evidence,,Date and time of gathering physical evidence,,,,,,,,,,,,,,,,,,
Time of measurement,27/10/2022,Date and time of making a quantitative assessment,,Date and time of making a quantitative assessment,,,,,,,,,,,,,,,,,,
Site,27/10/2022,A place where activities are taking place that have caused an event,,Locations group to sort this out,,,,Core,,,,,,,,,,,,,,
Operator,27/10/2022,The entity undertaking an activity that has given rise to an event,,The entity undertaking an activity that has given rise to an event,,,,Core,,,,,,,,,,,,,,
Sample,27/10/2022,A piece of physical evidence gathered,,A piece of physical evidence gathered,What do we call photographs?,,,Core,,,,,,,,,,,,,,
Report,27/10/2022,"A narrative explanation of what happened and why, and actions taken",,"A narrative explanation of what happened and why, and actions taken",,,,,,,,,,,,,,,,,,
Accident,27/10/2022,An event that has occurred that could not have been reasonably foreseen or prevented.,,An event that has occurred that could not have been reasonably foreseen or prevented.,,,,,,,,,,,,,,,,,,
Major event,27/10/2022,"An event that requires multi-agency response, where SEPA may not be the lead agency.",,"An event that requires multi-agency response, where SEPA may not be the lead agency.",,,,,,,,,,,,,,,,,,
Evidence,27/10/2022,"Could be physical, e.g. samples, or information like a witness statement. Material that demonstrates something has happened and/or an identified person or persons are responsible.",,"Material supporting the occurence of an event, the impact, and the identity of the responsible party.",,,,,,,,,,,,,,,,,,
Complainant,27/10/2022,A person making a complaint.,,,Current terminology. Should probably be superceded. Not everyone is making a complaint. Not every source of event information is a person.,,,,,,,,,,,,,,,,,
Notifier,27/10/2022,Somebody or something transmitting information to SEPA,,Somebody or something transmitting information to SEPA,,,,,,,,,,,,,,,,,,
Substantiation,,The act of verifying an event has occurred,,,,,,,,,,,,,,,,,,,,
