Name,Holmes Code,Taxon Name,Rmni,Rmhi,Special Taxon,Aquatic Taxon,Plant Fn Gp,Algal Taxon,Authority,Trophic Rank,Nbncode,Changed By,Group Name,Removed,Changed On,Alt Taxon Name,Lmni Lp1,Lmni Lp2,Loch Fg Lp1,Loch Fg Lp2
227,362001,Corrigiola litoralis,,,,,,N,L.,,NBNSYS0000004581,LAMC,DEFAULT,F,09 07 2015,,,,,
91,,Bulbochaete,,,,,,N,,,NHMSYS0000600238,LAMC,DEFAULT,F,07 09 2015,Bulbochaete sp.,,,,
229,,Crassula helmsii,,,,,0,N,(Kirk) Cockayne,,NBNSYS0000004639,TIFO,DEFAULT,F,09 01 2016,,6.17647826,5.567721481,5,5
230,322001,Cratoneuron commutatum,,,,,,N,(Hedw.) G.Roth,,NBNSYS0000036792,LAMC,DEFAULT,F,09 07 2015,,,,,
231,322003,Cratoneuron filicinum,5.023023224,6.33968275,,N,0,N,(Hedw.) Spruce,,NBNSYS0000036790,TIFO,DEFAULT,F,09 01 2016,,,,,
386,,Glyceria notata,8.280761049,7.48611325,,N,0,N,,,NBNSYS0000002504,TIFO,DEFAULT,F,09 01 2016,,,,,
387,382505,Glyceria plicata,,,,,,N,(Fries) Fries,,NBNSYS0000147816,LAMC,DEFAULT,F,09 07 2015,,,,,
388,382561,Glyceria x pedicellata,7.117402875,7.1508637,,N,0,N,F.Towns,,NBNSYS0000002503,TIFO,DEFAULT,F,09 01 2016,,,,,
96,380900,Calamagrostis ,,,,,,N,,,NBNSYS0000131112,LAMC,DEFAULT,F,07 09 2015,Calamagrostis sp,,,,
109,361100,Callitriche,6.668114592,7.18293,,Y,6,N,,,NHMSYS0000456299,TIFO,DEFAULT,F,09 02 2016,Callitiche sp.,5.969043517,7.106640256,6,6
391,382601,Groenlandia densa,7.962496871,8.1222556,,Y,5,N,,,NBNSYS0000002147,TIFO,DEFAULT,F,09 01 2016,,6.494271768,5.345867148,5,5
113,,Calothrix,,,,,,N,,,NHMSYS0021057566,LAMC,DEFAULT,F,07 09 2015,Calothrix sp.,,,,
393,,Gymnostomum aeruginosum,,,,,,N,,,NBNSYS0000036392,LAMC,DEFAULT,F,09 07 2015,,,,,
394,322909,Hamatocaulis vernicosus,,,,,,N,(Mitt.) Warnst.,,NBNSYS0000036827,LAMC,DEFAULT,F,09 07 2015,,,,,
395,342201,Haplomitrium hookeri,,,,,,N,(Sm.) Nees,,NBNSYS0000035761,LAMC,DEFAULT,F,09 07 2015,,,,,
396,342300,Harpalejeunea molleri,,,,,,N,(Steph.) Grolle,,NBNSYS0000133651,LAMC,DEFAULT,F,09 07 2015,,,,,
397,342401,Harpanthus flotovianus,,,,,,N,(Nees) Nees,,NBNSYS0000035954,LAMC,DEFAULT,F,09 07 2015,,,,,
116,340800,Calypogeia,,,,,0,N,,,NBNSYS0000042532,TIFO,DEFAULT,F,09 02 2016,Calypogeia sp.,,,,
120,321501,Campylopus atrovirens,,,,,,N,,,NBNSYS0000036257,LAMC,DEFAULT,F,07 09 2015,,,,,
400,323601,Heterocladium heteropterum,,,,,,N,,,NBNSYS0000036775,LAMC,DEFAULT,F,09 07 2015,,,,,
401,20601,Hildenbrandia rivularis,6.034237124,6.06796305,,Y,20,N,,,NHMSYS0000603347,TIFO,DEFAULT,F,09 01 2016,,,,,
402,363201,Hippuris vulgaris,5.939274404,8.21966,,N,0,N,L.,4,NBNSYS0000003614,TIFO,DEFAULT,F,09 01 2016,,6.40453736,5.228681877,7,7
403,,Homalia trichomanoides,,,,,,N,,,NHMSYS0000310050,LAMC,DEFAULT,F,09 07 2015,,,,,
404,323701,Homalothecium nitens,,,,,,N,(Hedw.) Robins.,,NBNSYS0000036857,LAMC,DEFAULT,F,09 07 2015,,,,,
405,323800,Hookeria lucens,,,,,,N,(Hedw.) Sm.,,NBNSYS0000133891,LAMC,DEFAULT,F,09 07 2015,,,,,
949,345507,Solenostoma sphaerocarpum,,,,,,N,(Hook.) Steph.,,NBNSYS0000156895,LAMC,DEFAULT,F,09 07 2015,,,,,
950,368401,Sonchus palustris,,,,,,N,L.,,NBNSYS0000004541,LAMC,DEFAULT,F,09 07 2015,,,,,
951,384601,Sparganium angustifolium,2.263939011,4.8138814,,Y,13,N,,,NHMSYS0000463841,TIFO,DEFAULT,F,09 02 2016,,3.65262422,2.517378037,13,13
952,384661,Sparganium angustifolium x S. emersum,,,,,,N,,,NBNSYS0100015277,LAMC,DEFAULT,F,09 07 2015,,,,,
953,384602,Sparganium emersum,8.324467741,8.58094835,,Y,13,N,,,NBNSYS0000002366,TIFO,DEFAULT,F,09 02 2016,,6.58816324,6.057757558,13,13
954,384603,Sparganium erectum,8.335195747,8.26221415,,,0,N,L.,3,NBNSYS0000002361,TIFO,DEFAULT,F,09 02 2016,,,,,
955,384604,Sparganium minimum,,,,,,N,Wallr.,,NBNSYS0000156948,LAMC,DEFAULT,F,09 07 2015,,,,,
956,,Sparganium natans,3.586595286,,Y,Y,13,N,,,NBNSYS0000002368,TIFO,DEFAULT,F,09 02 2016,,4.84112446,2.794784724,13,13
958,327401,Sphagnum auriculatum,,,,,,N,Schimp.,,NBNSYS0000036091,LAMC,DEFAULT,F,09 07 2015,,,,,
959,327403,Sphagnum capillifolium,,,,,,N,(Ehrh.) Hedw.,,NBNSYS0000036080,LAMC,DEFAULT,F,09 07 2015,,,,,
960,327404,Sphagnum compactum,,,,,,N,DC. in Lam. and DC.,,NBNSYS0000036088,LAMC,DEFAULT,F,09 07 2015,,,,,
961,327405,Sphagnum contortum,,,,,,N,Schultz,,NBNSYS0000036094,LAMC,DEFAULT,F,09 07 2015,,,,,
962,327406,Sphagnum cuspidatum,,,,,,N,Ehrh. ex Hoffm.,,NBNSYS0000036095,LAMC,DEFAULT,F,09 07 2015,,,,,
963,,Sphagnum denticulatum,4.838697984,,Y,N,0,N,,,NBNSYS0000157062,TIFO,DEFAULT,F,09 02 2016,,,,,
964,327407,Sphagnum fimbriatum,,,,,,N,Wils. in J.D.Hook. and Wils.,,NBNSYS0000036074,LAMC,DEFAULT,F,09 07 2015,,,,,
965,327408,Sphagnum fuscum,,,,,,N,(Schimp.) Klinggr.,,NBNSYS0000036082,LAMC,DEFAULT,F,09 07 2015,,,,,
966,,Sphagnum girgensohnii,,,,,,N,Russow,,NHMSYS0000310670,LAMC,DEFAULT,F,09 07 2015,,,,,
967,327410,Sphagnum imbricatum,,,,,,N,Hornsch. ex Russ.,,NBNSYS0000036067,LAMC,DEFAULT,F,09 07 2015,,,,,
968,327411,Sphagnum lindbergii,,,,,,N,Schimp. ex Lindb.,,NBNSYS0000036107,LAMC,DEFAULT,F,09 07 2015,,,,,
969,327412,Sphagnum magellanicum,,,,,,N,Brid.,,NBNSYS0000036071,LAMC,DEFAULT,F,09 07 2015,,,,,
970,327413,Sphagnum majus,,,,,,N,(Russ.) C.Jens.,,NBNSYS0000036096,LAMC,DEFAULT,F,09 07 2015,,,,,
971,327414,Sphagnum molle,,,,,,N,Sull.,,NBNSYS0000036086,LAMC,DEFAULT,F,09 07 2015,,,,,
972,327417,Sphagnum papillosum,,,,,,N,Lindb.,,NBNSYS0000036069,LAMC,DEFAULT,F,09 07 2015,,,,,
973,327419,Sphagnum pulchrum,,,,,,N,(Braithw.) Warnst.,,NBNSYS0000036099,LAMC,DEFAULT,F,09 07 2015,,,,,
974,327420,Sphagnum quinquefarium,,,,,,N,(Braithw.) Warnst.,,NBNSYS0000036077,LAMC,DEFAULT,F,09 07 2015,,,,,
975,327421,Sphagnum recurvum,,,,,,N,P.Beauv.,,NBNSYS0000036101,LAMC,DEFAULT,F,09 07 2015,,,,,
976,327422,Sphagnum riparium,,,,,,N,,,NBNSYS0100015329,LAMC,DEFAULT,F,09 07 2015,,,,,
977,327423,Sphagnum russowii,,,,,0,N,Warnst.,,NBNSYS0000036076,TIFO,DEFAULT,F,09 02 2016,,,,,
979,327424,Sphagnum squarrosum,,,,,,N,Crome,,NBNSYS0000036072,LAMC,DEFAULT,F,09 07 2015,,,,,
980,327425,Sphagnum strictum,,,,,0,N,Sull.,,NBNSYS0000036087,TIFO,DEFAULT,F,09 02 2016,,,,,
981,327426,Sphagnum subnitens,,,,,,N,Russ. and Warnst. in Warnst.,,NBNSYS0000036084,LAMC,DEFAULT,F,09 07 2015,,,,,
982,327428,Sphagnum tenellum,,,,,,N,(Brid.) Brid.,,NBNSYS0000036097,LAMC,DEFAULT,F,09 07 2015,,,,,
983,327429,Sphagnum teres,,,,,,N,(Schimp.) Angstr. in Hartm.,,NBNSYS0000036073,LAMC,DEFAULT,F,09 07 2015,,,,,
984,,Spirodela polyrhiza,8.988412113,8.8978743,,Y,1,N,,,NHMSYS0000463934,TIFO,DEFAULT,F,09 02 2016,,8.79143808,9.616357467,1,1
986,327502,Splachnum sphaericum,,,,,,N,Hedw.,,NBNSYS0000036537,LAMC,DEFAULT,F,09 07 2015,,,,,
987,368500,Stachys palustris,,,,,,N,L.,,NBNSYS0000137958,LAMC,DEFAULT,F,09 07 2015,,,,,
988,,Stachys sylvatica,,,,,,N,L.,,NBNSYS0000004236,LAMC,DEFAULT,F,09 07 2015,,,,,
989,,Stachys x ambigua,,,,,,N,Sm.,,NHMSYS0001754582,LAMC,DEFAULT,F,09 07 2015,,,,,
990,312601,Staurothele fissa,,,,,,N,(Taylor) Zwackh,,NBNSYS0000020640,LAMC,DEFAULT,F,09 07 2015,,,,,
991,,Stellaria media,,,,,,N,(L.) Vill.,,NHMSYS0000464009,LAMC,DEFAULT,F,09 07 2015,,,,,
992,368602,Stellaria neglecta,,,,,,N,Weihe,,NBNSYS0000003034,LAMC,DEFAULT,F,09 07 2015,,,,,
465,,Jungermannia atrovirens,2.281024354,3.61814595,,Y,23,N,,,NHMSYS0000310113,TIFO,DEFAULT,F,09 01 2016,,,,,
466,,Jungermannia exsertifolia,3.870758773,4.44005585,,Y,23,N,,,NBNSYS0000035884,TIFO,DEFAULT,F,09 01 2016,,,,,
467,,Jungermannia gracillima,,,,,,N,,,NHMSYS0000310115,LAMC,DEFAULT,F,09 07 2015,,,,,
468,,Jungermannia leiantha,,,,,,N,,,NBNSYS0000035879,LAMC,DEFAULT,F,09 07 2015,,,,,
469,,Jungermannia obovata,2.970399318,4.39593455,,Y,23,N,,,NBNSYS0000035892,TIFO,DEFAULT,F,09 01 2016,,,,,
470,,Jungermannia paroica,3.996297555,,Y,Y,23,N,,,NBNSYS0000035890,TIFO,DEFAULT,F,09 01 2016,,,,,
471,,Jungermannia pumila,3.290933854,3.01033285,,Y,23,N,,,NBNSYS0000035881,TIFO,DEFAULT,F,09 01 2016,,,,,
212,341200,Cladopodiella,,,,,,N,,,NBNSYS0000131691,LAMC,DEFAULT,F,07 09 2015,Cladopodiella sp.,,,,
473,,Jungermannia sphaerocarpa,3.077165946,2.47557305,,Y,23,N,,,NBNSYS0000035886,TIFO,DEFAULT,F,09 01 2016,,,,,
474,,Jungermannia subellptica,,,,,0,N,,,NHMSYS0000310118,TIFO,DEFAULT,F,09 05 2016,,,,,
475,323200,Kindbergia praelonga,,,,,,N,(Hedw.) Ochyra,,NBNSYS0000133109,LAMC,DEFAULT,F,09 07 2015,,,,,
215,321901,Climacium dendroides,,,,,,N,,,NHMSYS0000309639,LAMC,DEFAULT,F,07 09 2015,,,,,
477,383101,Lagarosiphon major,,,,,0,N,,,NBNSYS0100012665,TIFO,DEFAULT,F,09 01 2016,,7.42210589,3.509632175,5,5
223,341400,Colura,,,,,,N,,,NBNSYS0000131847,LAMC,DEFAULT,F,07 09 2015,,,,,
479,311201,Lecidea speirea,,,,,,N,(Ach.) Ach.,,NBNSYS0000150067,LAMC,DEFAULT,F,09 07 2015,,,,,
480,311202,Lecidea tumida,,,,,,N,A. Massal.,,BMSSYS0000010073,LAMC,DEFAULT,F,09 07 2015,,,,,
226,,Conocephalum salebrosum,,,,,,N,"Szweykowski, Buczkowska and. Odrzykoski",,NHMSYS0001696738,LAMC,DEFAULT,F,07 09 2015,,,,,
482,383201,Leersia oryzoides,,,,,,N,(L.) Sw.,,NBNSYS0000002496,LAMC,DEFAULT,F,09 07 2015,,,,,
228,362101,Crassula aquatica,,,,,,N,(L.) Schonland,,NHMSYS0000457654,LAMC,DEFAULT,F,07 09 2015,,,,,
484,342801,Lejeunea cavifolia,,,,,,N,(Ehrh.) Lindb.,,NBNSYS0000035994,LAMC,DEFAULT,F,09 07 2015,,,,,
485,342802,Lejeunea holtii,,,,,,N,Spruce,,NBNSYS0000036000,LAMC,DEFAULT,F,09 07 2015,,,,,
486,342803,Lejeunea lamacerina,,,,,,N,(Steph.) Schiffn.,,NBNSYS0000035995,LAMC,DEFAULT,F,09 07 2015,,,,,
487,342804,Lejeunea patens,,,,,,N,Lindb.,,NBNSYS0000035996,LAMC,DEFAULT,F,09 07 2015,,,,,
488,20701,Lemanea fluviatilis,4.509270936,5.2579876,,Y,19,N,,,NBNSYS0100012763,TIFO,DEFAULT,F,09 01 2016,,,,,
232,362200,Crepis,,,,,,N,,,NBNSYS0000132013,LAMC,DEFAULT,F,07 09 2015,Crepis sp.,,,,
490,383301,Lemna gibba,10.00121535,9.13584,,Y,1,N,L.,2,NBNSYS0000002359,TIFO,DEFAULT,F,09 01 2016,,9.2395418,7.661548113,1,1
491,383302,Lemna minor,8.798486673,8.5907129,,Y,1,N,L.,4,NBNSYS0000002358,TIFO,DEFAULT,F,09 01 2016,,7.5794837,8.517826202,1,1
492,,Lemna minor/gibba ,,,,,0,N,,,,TIFO,DEFAULT,F,27 11 2015,,,,,
493,383305,Lemna minuta,9.211713571,8.86833955,,Y,1,N,,,NBNSYS0000004649,TIFO,DEFAULT,F,09 01 2016,,8.63951654,10.00084216,1,1
238,322201,Ctenidium molluscum,,,,,,N,,,NBNSYS0000036948,LAMC,DEFAULT,F,07 09 2015,,,,,
495,383304,Lemna trisulca,8.212223442,8.66292235,,Y,1,N,,,NBNSYS0000002357,TIFO,DEFAULT,F,09 01 2016,,7.81532156,7.96052766,1,1
239,322300,Cyclodictyon,,,,,,N,,,NBNSYS0000132149,LAMC,DEFAULT,F,07 09 2015,Cyclodictyon sp.,,,,
244,381600,Dactylorhiza,,,,,,N,,,NBNSYS0000042540,LAMC,DEFAULT,F,07 09 2015,Dactylorhiza sp.,,,,
498,324301,Leptodontium recurvifolium,,,,,,N,(Tayl.) Lindb.,,NBNSYS0000036441,LAMC,DEFAULT,F,09 07 2015,,,,,
499,,Leptogium plicatile,,,,,,N,,,NBNSYS0000018786,LAMC,DEFAULT,F,09 07 2015,,,,,
500,324401,Leskea polycarpa,,,,,,N,Hedw.,,NBNSYS0000036766,LAMC,DEFAULT,F,09 07 2015,,,,,
501,363801,Limosella aquatica,,,,,0,N,L.,,NBNSYS0000004089,TIFO,DEFAULT,F,09 01 2016,,6.494271768,3.802460959,11,11
502,363901,Littorella uniflora,1.956402839,4.83883525,,Y,4,N,(L.) Asch.,8,NBNSYS0000004280,TIFO,DEFAULT,F,09 01 2016,,4.7013425,3.732984506,4,4
503,364001,Lobelia dortmanna,2.724718747,5.2601575,,Y,4,N,L.,,NBNSYS0000004299,TIFO,DEFAULT,F,09 01 2016,,2.4602346,2.158533228,4,4
253,310500,Dermatocarpon,3.507990375,4.84968475,,N,0,N,,,NBNSYS0000132330,TIFO,DEFAULT,F,09 01 2016,Dermatocarpon sp(p). (aggregated),,,,
505,343002,Lophocolea fragrans,,,,,,N,(Moris and De Not.) Gott. et al.,,NBNSYS0000035950,LAMC,DEFAULT,F,09 07 2015,,,,,
506,343101,Lophozia alpestris,,,,,,N,(Schleich. ex Web.) Evans,,NBNSYS0000150808,LAMC,DEFAULT,F,09 07 2015,,,,,
507,343103,Lophozia obtusa,,,,,,N,(Lindb.) Evans,,NBNSYS0000035848,LAMC,DEFAULT,F,09 07 2015,,,,,
508,343104,Lophozia ventricosa,,,,,,N,(Dicks.) Dum.,,NBNSYS0000035840,LAMC,DEFAULT,F,09 07 2015,,,,,
509,364101,Ludwigia palustris,,,,,0,N,(L.) Elliott,,NBNSYS0000003534,TIFO,DEFAULT,F,09 02 2016,,5.566437646,3.822350442,11,11
510,343201,Lunularia cruciata,,,,,,N,(L.) Dum. ex Lindb.,,NBNSYS0000022253,LAMC,DEFAULT,F,09 07 2015,,,,,
511,364201,Lupinus nootkatensis,,,,,,N,Donn ex Sims,,NBNSYS0000003202,LAMC,DEFAULT,F,09 07 2015,,,,,
258,999902,Diatoms,,,,,0,N,,,NBNSYS0000174924,TIFO,DEFAULT,F,09 01 2016,Diatom scum,,,,
513,383401,Luronium natans,4.369159472,5.56719835,,Y,4,N,(L.) Raf.,,NBNSYS0000002100,TIFO,DEFAULT,F,09 02 2016,,5.13259224,3.519850052,13,13
514,,Luzula sylvatica,,,,,,N,(Huds.) Gaudin,,NHMSYS0000460501,LAMC,DEFAULT,F,09 07 2015,,,,,
515,,Lycopodiella inundata,,,,,0,N,,,NBNSYS000002001,TIFO,DEFAULT,F,09 02 2016,,3.00967984,,3,
516,364301,Lycopus europaeus,,,,,,N,L.,,NBNSYS0000004206,LAMC,DEFAULT,F,09 07 2015,,,,,
260,,Dichodontium palustre,1.68264184,3.51519625,,N,0,N,,,,TIFO,DEFAULT,F,09 01 2016,Dichodontium palustris,,,,
518,,Lysichiton americanus,,,,,,N,Hulten and H. St. John,,NHMSYS0000460540,LAMC,DEFAULT,F,09 07 2015,,,,,
519,364400,Lysimachia vulgaris,,,,,,N,L.,,NBNSYS0000134806,LAMC,DEFAULT,F,09 07 2015,,,,,
520,364500,Lythrum portula,,,,,0,N,(L.) DA Webb,,NBNSYS0000134811,TIFO,DEFAULT,F,09 01 2016,,5.56242766,4.310097343,11,11
521,364502,Lythrum salicaria,7.325968514,8.11200885,,N,0,N,,,NBNSYS0000003524,TIFO,DEFAULT,F,09 01 2016,,,,,
522,343300,Marchantia polymorpha,,,,,,N,L.,,NBNSYS0000134887,LAMC,DEFAULT,F,09 07 2015,,,,,
523,343401,Marsupella aquatica,3.171026718,0.99979995,,Y,23,N,,,NBNSYS0000102452,TIFO,DEFAULT,F,09 01 2016,,,,,
524,343402,Marsupella emarginata,1.057634335,2.85144795,,Y,23,N,,,NHMSYS0000309960,TIFO,DEFAULT,F,09 01 2016,,,,,
262,,Dichothrix,,,,,,N,,,NHMSYS0000602326,LAMC,DEFAULT,F,07 09 2015,,,,,
269,,Dicranella,,,,,,N,,,NHMSYS0000309745,LAMC,DEFAULT,F,07 09 2015,Dicranella sp.,,,,
272,322608,Dicranella varia,,,,,,N,,,NBNSYS0000036213,LAMC,DEFAULT,F,07 09 2015,,,,,
528,364601,Mentha aquatica,6.269458589,6.70977125,,N,0,N,,,NBNSYS0000004198,TIFO,DEFAULT,F,09 01 2016,,,,,
529,364602,Mentha rotundifolia,,,,,,N,,,NHMSYS0100002018,LAMC,DEFAULT,F,09 07 2015,,,,,
530,,Mentha spicata,,,,,,N,L.,,NBNSYS0000004203,LAMC,DEFAULT,F,09 07 2015,,,,,
531,364603,Mentha suaveolens,,,,,,N,Ehrh.,,NBNSYS0000004204,LAMC,DEFAULT,F,09 07 2015,,,,,
532,364661,Mentha x gentilis,,,,,,N,,,NHMSYS0100002023,LAMC,DEFAULT,F,09 07 2015,,,,,
533,364663,Mentha x piperita,,,,,,N,L.,,NBNSYS0000004201,LAMC,DEFAULT,F,09 07 2015,,,,,
274,322702,Dicranum scoparium,,,,,,N,,,NBNSYS0000036227,LAMC,DEFAULT,F,07 09 2015,,,,,
535,364701,Menyanthes trifoliata,3.137278167,5.6907621,,N,0,N,,,NBNSYS0000003976,TIFO,DEFAULT,F,09 01 2016,,4.76404402,5.172514418,10,10
536,,Metzgeria furcata,,,,,,N,,,NHMSYS0000310185,LAMC,DEFAULT,F,09 07 2015,,,,,
537,311501,Microglaena larbalestieri,,,,,,N,A.L. Sm.,,NBNSYS0000151615,LAMC,DEFAULT,F,09 07 2015,,,,,
538,324601,Micromitrium tenerum,,,,,,N,(Bruch) Crosby,,NBNSYS0000036522,LAMC,DEFAULT,F,09 07 2015,,,,,
278,,Didymodon,,,,,,N,,,NHMSYS0000309773,LAMC,DEFAULT,F,07 09 2015,Didymodon sp.,,,,
540,364862,Mimulus cupreus x M. luteus,,,,,,N,,,NBNSYS0100013190,LAMC,DEFAULT,F,09 07 2015,,,,,
541,364801,Mimulus guttatus,5.787095652,5.67400565,,N,0,N,Fisch. ex DC.,,NHMSYS0100002052,TIFO,DEFAULT,F,09 01 2016,,,,,
542,364865,Mimulus luteus x M. variegatus,,,,,,N,,,NBNSYS0100013193,LAMC,DEFAULT,F,09 07 2015,,,,,
